"Venue Name","Venue type","Address","Latitude","Longitude"
"Ithaca Memorial Park (road reserve)","Park","49 Latrobe Terrace, Paddington",-27.458547,153.00064
"Ithaca Pool (Paddington)","Swimming pool","131 Caxton Street, Paddington",-27.463179,153.010854
"J.C Trotter Memorial Park","Park","1646 Mt Cotton Road, Burbank",-27.556046,153.172262
"J.C. Slaughter Falls - Mt Coot-tha Reserve","Park","200 Mt Coot-tha Road, Mt Coot-tha",-27.46743,152.957491
"J.F O'Grady Memorial Park","Park","Corner of Home Street and Brougham Street, Fairfield",-27.506789,153.023283
"Jacaranda Park","Park","Brisbane Corso, Yeronga",-27.507924,153.004484
"Jacaranda Place Park","Park","19 Arcadia Street, Eight Mile Plains",-27.576402,153.082919
"Jacaranda Street Park","Park","46 Jacaranda Street, Wynnum West",-27.454267,153.148773
"Jack Cook Memorial Park","Park","99 Gailey Road, Taringa",-27.49385,152.99203
"Jack Pyle Park","Park","283 Gowan Road, Sunnybank Hills",-27.603593,153.062819
"Jack Speare Park (Indooroopilly Recreation Reserve)","Park","108 Fairley Street, Indooroopilly",-27.502675,152.980508
"Jackson Road Park (no. 219)","Park","219 Jackson Road, Sunnybank Hills",-27.591542,153.044241
"Jagera Community Hall (South Brisbane)","Community Hall,General Council venue","121 Cordelia Street, South Brisbane",-27.47913,153.017943
"Jagera Park","Park","27 Jandowae St, Runcorn",-27.593148,153.087624
"Jalomy Street Park","Park","25 Jalomy Street, Boondall 4034",-27.449867,152.97626
"Jaloon Street Park","Park","50 Jaloon Street, Ashgrove 4060",-27.449867,152.97626
"Jamboree Lions Community Park","Park","MacFarlane St, Middle Park",-27.558896,152.917921
"Jamboree Park","Park","18 Guide Street, Jamboree Heights",-27.558732,152.932929
"James Freney Park","Park","563 Beatty Rd, Acacia Ridge",-27.581078,153.010735
"James Warner Park","Park","33 Annie Street, Kangaroo Point",-27.466724,153.034133
"Jane Street Community Garden","Community Garden,Non-Council venue","124 Jane Street, West End",-27.478131,153.006293
"Jarrah Street Park","Park","154 Jarrah Street, Moggill",-27.574013,152.868376
"Jeay's Street Community Garden","Community Garden,Non-Council venue","8 Jeays Street, Bowen Hills",-27.448333,153.03589
"Jeays Street Park","Park","16 Jeays St, Bowen Hills",-27.448662,153.03614
"Jeremiah O'Toole Park","Park","Baringa Street, Morningside",-27.462739,153.072661
"Jill Street Park","Park","24 West Avenue, Brighton 4017",-27.290289,153.059
"Jimbour Close Park","Park","9 Atherton Circuit, Forest Lake",-27.607302,152.957669
"Jindalee Boat Ramp Park","Park","99 Mt Ommaney Drive, Jindalee",-27.529612,152.928984
"Jindalee Municipal Golf Links Park","Park","232 Sinnamon Road, Jindalee",-27.536224,152.943454
"Jindalee Park (Wyaribah)","Park","89 Burrendah Road, Jindalee",-27.530114,152.936671
"Jindalee Pool","Swimming pool","11 Yallambee Road, Jindalee",-27.533115,152.942753
"Jindalee Recreation Reserve","Park","77 Curragundi Road, Jindalee 4074",-27.532785,152.934446
"Joachim Street Park","Park","87 Marshall Road, Holland Park West",-27.522198,153.056031
"Jock Hing Park","Park","330 Beenleigh Road, Sunnybank",-27.579936,153.047925
"Joe Bradfield Centre Park","Park","85 Mayfield Road, Carina",-27.491851,153.091325
"Joe Forster Park","Park","35 Carranya St, Camp Hill",-27.493852,153.06978
"John Bright Street Park","Park","40 John Bright Street, Moorooka",-27.545417,153.017158
"John French Memorial Park","Park","23 Nambour Street, Gaythorne",-27.422162,152.973856
"John Henley Park","Park","5 Remus Street, Robertson",-27.567697,153.056276
"John Magee Park","Park","56 Counihan Road, Seventeen Mile Rocks",-27.53703,152.959522
"John Patterson Park","Park","Norman Dr, Chermside",-27.388222,153.028328
"John Stewart Memorial Park","Park","2019 Gympie Rd, Australia",-27.326597,153.008927
"John Tucker Park","Park","Banek Pl, Everton Park",-27.393499,152.978477
"John Wilson Reserve","Park","52 Glenhurst Road, Pinjarra Hills",-27.553999,152.89941
"Johnston Park","Park","24 Johnston Street, Bulimba 4171",-27.445325,153.057901
"Jolly Place Park","Park","15 Peel Street, South Brisbane",-27.471877,153.016658
"Joseph Lee Park","Park","Tedman St, Zillmere",-27.3528,153.047677
"Joyce White Park","Park","47 Thynne Road, Morningside",-27.467498,153.070743
"Jubilee Avenue Park","Park","Jubilee Avenue, Forest Lake",-27.627091,152.946148
"Jubilee Park","Park","52 Crown Street, Bardon",-27.452448,152.982119
"Judith Court Park","Park","6 Judith Court, Runcorn",-27.593187,153.079292
"Julatten Place Park","Park","220 Upper Kedron Road, Upper Kedron",-27.41689,152.927035
"Julie Road Park","Park","12A Julie Rd, Ellen Grove",-27.61414,152.935407
"Jurayelba Place Park","Park","68 Kane Street, Keperra",-27.407677,152.960652
"Jurgens Street Park","Park","45 Logan Road, Woolloongabba",-27.488165,153.037292
"Juxgold Place Park","Park","4 Juxgold Place, Calamvale 4116",-27.626369,153.055337
"Kalinga Park, Wooloowin","Park","100 Bertha Street, Wooloowin",-27.405947,153.05105
"Kangaroo Gully Road Park","Park","147 Kangaroo Gully Road, Bellbowrie 4070",-27.563274,152.877076
"Kangaroo Point Cliffs Park","Park","29 River Terrace, Kangaroo Point",-27.481909,153.031694
"Karawatha Forest Park and Discovery Centre","Park","149 Acacia Road, Karawatha",-27.625817,153.095869
"Karawatha Forest South","Park","263 Illaweena Street, Drewvale",-27.645431,153.052016
"Karhula Park, Eight Mile Plains","Park","34 Demigre Street, Eight Mile Plains",-27.585075,153.083089
"Karumba Place Park","Park","443 Sumners Road, Riverhills",-27.55921,152.902954
"Keating Park, Indooroopilly","Park","60 Stamford Road, Indooroopilly",-27.499449,152.973671
"Keatley Street Park","Park","Raffia St, Bellbowrie",-27.562484,152.882587
"Keith Payne Park","Park","38 Buddina Street, Stafford",-27.409737,153.021854
"Kelvin Close Park","Park","36 Cressbrook Street, Forest Lake",-27.6047,152.958951
"Kelvin Close Park (Forest Lake)","Park","36 Cressbrook Street, Forest Lake",-27.6047,152.958951
"Kelvin Grove Community Garden","Community Garden,Non-Council venue","48 Blamey Street, Kelvin Grove",-27.453316,153.015056
"Kemp Place Park (road reserve)","Park","2 McLachlan Street, Fortitude Valley",-27.459699,153.034555
"Ken Fletcher Park","Park","27 Softstone Street, Tennyson",-27.5246702,153.0047451
"Kengsington Avenue Park","Park","12 Mosman Close, Forest Lake",-27.629425,152.973902
"Kenmore Community Meeting Place","Community Hall","98 Brookfield Road, Kenmore Hills",-27.503939,152.931735
"Kenmore Library","Library","9 Brookfield Road, Kenmore",-27.506905,152.938173
"Kenmore Reserve","Park","1076 Moggill Road, Kenmore",-27.508533,152.940547
"Kenna Street Park","Park","Kenna St, Chermside West",-27.378466,153.01044
"Kennewell Park (Witton Place)","Park","648 Moggill Road, Indooroopilly",-27.506762,152.959822
"Kensington Place Park","Park","46 Chelsea Crescent, Bridgeman Downs 4035",-27.356585,153.002657
"Kentish Street Park","Park","35 Canterbury Street, Mt Gravatt East",-27.534346,153.089216
"Keong Park","Park","38 Appleby Road, Stafford",-27.40723,153.00675
"Keperra Picnic Ground Park","Park","20 Tramway St, Ferny Grove",-27.409417,152.93859
"Keppel Street Park","Park","37 Keppel Street, Boondall 4034",-27.344282,153.055214
"Keralgerie Park","Park","119 Richmond Road, Morningside",-27.473532,153.079203
"Kerria Street Park","Park","31 Kerria Street, Bellbowrie 4070",-27.559338,152.878643
"Kerry Road Park","Park","597 Boundary Road, Archerfield",-27.570008,153.020619
"Keryn Place Park","Park","61 Mungarie St, Keperra",-27.420937,152.94559
"Kev Hooper Memorial Park","Park","209 Lavender Street, Inala",-27.591872,152.973014
"Kianawah Park","Park","1555 Wynnum Road, Tingalpa",-27.477775,153.124803
"Kianawah Road Park (no. 330)","Park","330 Kianawah Road, Wynnum West",-27.459606,153.147729
"Kimberly Park","Park","16 Noosa Street, Fitzgibbon",-27.338576,153.025733
"Kindilan Park","Park","72 Cobalt Street, Keperra",-27.41537,152.942613
"King Edward Park","Park","224 Turbot Street, Brisbane City",-27.46593,153.024011
"King George Square","Park","100 Adelaide Street, Brisbane",-27.468437,153.024186
"King Street Park","Park","King Street, Kuraby",-27.603666,153.102176
"Kingfisher Drive Park","Park","7 Budgerigar Street, Upper Kedron",-27.424058,152.922792
"Kingfisher Park","Park","160 Gem Rd, Kenmore",-27.524133,152.933144
"Kingfisher Park (East Brisbane)","Park","92 Norman Street, East Brisbane",-27.490942,153.045277
"Kings Park","Park","21 Hermitage Street, Keperra",-27.416368,152.942556
"Kinnen Street Park","Park","165 Pickering Street, Enoggera",-27.418392,152.990966
"Kinta Street Park","Park","91 Franquin Cres, Kuraby",-27.595262,153.103051
"Kirra Street Boat Ramp","General Council venue","48 Kirra Street, Pinkenba",-27.417601,153.13855
"Kitchener Park","Park","57 Stradbroke Avenue, Wynnum",-27.445657,153.167088
"Kitto Court Park","Park","6 Kitto Court, Everton Park",-27.391442,152.980725
"Kluver Street Lions Park","Park","11 Kluver Street, Bald Hills 4036",-27.316704,153.013236
"Koala Park Park and Community Garden","Community Garden,Park","114 Vendale Avenue, Moorooka",-27.530818,153.02864
"Kokoda Park","Park","7 Tindal St, Gordon Park",-27.421798,153.027631
"Kookaburra Park - West","Park","54 Caringal Drive, Karana Downs",-27.544459,152.838717
"Koola Street Park","Park","459 Broadwater Road, Wishart",-27.546127,153.105607
"Kooringal Street Park","Park","45 Kooringal Street, Tingalpa",-27.473283,153.139594
"Korea Park","Park","11 Pickering Street, Enoggera",-27.418381,152.992532
"Kulgun Park","Park","9 Maidstone Street, Kelvin Grove",-27.45491,153.015939
"Kundu Park","Park","48 Blamey Street, Kelvin Grove",-27.453061,153.014998
"Kupi Park","Park","58 Tanderra Way, Karana Downs",-27.540466,152.823349
"Kuranda Street Park","Park","49 Kuranda Street, Balmoral",-27.459016,153.070085
"Kurilpa Point Park","Park","Montague Rd, South Brisbane",-27.469615,153.015616
"Kuringgai Park","Park","14 Mt Kaputar Ave, Fitzgibbon",-27.340626,153.026598
"Kyabra Street Community Garden","Community Garden,Non-Council venue","156 Gumtree Street, Runcorn",-27.60845,153.070307
"Lacey Road Park","Park","133 Lacey Road, Carseldine",-27.33717,153.019048
"Lagonda Street Park","Park","32 Lagonda Street, Annerley",-27.511713,153.028029
"Lakewood Avenue Park","Park","26 Argyle Pl, Parkinson",-27.634729,153.039908
"Lambert McBride Park","Park","Muller Rd, Zillmere",-27.358057,153.050876
"Lancewood Place Park","Park","24 Lancewood Place, Moggill",-27.566503,152.868008
"Lang Street Park","Park","25 Lang Street, Sunnybank Hills",-27.584522,153.047749
"Langlands Park","Park","Main Ave, Coorparoo",-27.496462,153.049258
"Langlands Park Memorial Pool (Stones Corner)","Swimming pool","5 Panitya Street, Greenslopes",-27.498488,153.048707
"Langley Avenue Park","Park","72 Murray St, Wilston",-27.440019,153.018101
"Lanham Park","Park","75 Sellheim Street, Grange",-27.425031,153.017782
"Lansvale Street Park","Park","16 Lansvale Street, Mitchelton",-27.40123,152.976824
"Lapford Park","Park","15 Lapford Circuit, Drewvale",-27.651538,153.049663
"Lather Road Park","Park","134 Lather Road, Bellbowrie 4070",-27.55295,152.902562
"Laurel Oak Park","Park","53 Laurel Oak Drive, Algester 4115",-27.623335,153.03184
"Lavarack Park","Park","29 Aubrey Street, Camp Hill",-27.489829,153.083788
"Lawrence Close Park","Park","19 Lawrence Close, Robertson",-27.562042,153.051137
"Lawson Street Park","Park","1052 Oxley Road, Oxley",-27.557018,152.979443
"Leacroft Road Park","Park","270 Leacroft Road, Burbank",-27.571203,153.171593
"Leckmy Street Park","Park","20 Mullacor Street, Ferny Grove",-27.398956,152.927893
"Leicester Street Park","Park","126 Leicester Street, Coorparoo",-27.496838,153.067059
"Len Trezona Park","Park","Murphy Rd, Zillmere",-27.363543,153.03689
"Leos Park","Park","22 Dixon Street, Ashgrove 4060",-27.438639,152.990207
"Les Atkinson Park","Park","430 Beenleigh Road, Sunnybank",-27.581989,153.054643
"Lewis Place Park","Park","330 Wondall Road, Manly West",-27.465879,153.156171
"Lex Ord Park","Park","224 Indooroopilly Road, Taringa",-27.501282,152.991513
"Lexus Street Park","Park","18 Lexus St, Runcorn",-27.600571,153.074694
"Leyshon Park","Park","230 Brisbane Corso, Yeronga",-27.508157,153.016285
"Lillian Avenue Park","Park","309 Lillian Avenue, Salisbury",-27.556031,153.03797
"Lindsay Evans Memorial Park","Park","21 Celica Street, Runcorn",-27.601566,153.075629
"Lions Park","Park","89 Birkin Road, Bellbowrie",-27.562646,152.892481
"Liquidamber Place Park","Park","24 Liquidamber Place, Stretton",-27.620238,153.064702
"Little Bayside Park (road reserve)","Park","42 Fairlead Crescent, Manly",-27.452356,153.186946
"Livesay Road Park","Park","3 Beaufort Crescent, Moggill",-27.567963,152.884532
"Lockrose Street Park","Park","89 Lockrose Street, Mitchelton",-27.414807,152.966071
"Lone Pine Park","Park","642 Jesmond Road, Fig Tree Pocket",-27.530593,152.969268
"Lorikeet Park","Park","221 Arrabri Avenue, Mt Ommaney",-27.549101,152.934022
"Lota Camping Reserve","Park","710 Esplanade, Lota",-27.465697,153.192154
"Lota Creek Reserve","Park","58 Beltana Street, Lota",-27.472669,153.188579
"Lota Esplanade Park","Park","Booran Street, Lota",-27.473553,153.192993
"Lota Point Park (road reserve), Lota","Park","827 Esplanade, Lota",-27.473759,153.192648
"Love Street Park","Park","76 Love Street, Bulimba 4171",-27.454284,153.055505
"Lucock Place Park","Park","16 Stephenson Street, Oxley",-27.560469,152.97067
"Lugg Street Park","Park","99 Lugg Street, Red Hill",-27.449023,152.99224
"Lutwyche Cemetery","General Council venue","418 Gympie Road, Kedron",-27.400385,153.030786
"Luxworth Place (road reserve)","Park","135 Beaudesert Road, Moorooka",-27.531952,153.023887
"Lynelle Street Park","Park","28 The Avenue, Sunnybank Hills",-27.602222,153.050731
"Lyons Playground Park","Community Garden,Park","25 Paradise St, Highgate Hill",-27.488916,153.012669
"Lytton Road Park","Park","202 Lytton Road, Morningside",-27.452735,153.072791
"M.Z. Holland Memorial Park, Wacol","Park","57 Monterey Street, Wacol",-27.592452,152.922007
"Macaranga Crescent Park","Park","88 Macaranga Crescent, Carseldine",-27.339774,153.013144
"Mackenzie Place Park","Park","59 Aubigny Street, Annerley",-27.523284,153.028898
"Macleay Crescent Park","Park","68 Macleay Cres, Tingalpa",-27.472386,153.144529
"Macquarie Way Park (no.123)","Park","Macquarie Way, Drewvale",-27.65294,153.057074
"Mactier Street Park","Park","745 Fig Tree Pocket Rd, Fig Tree Pocket",-27.536081,152.963501
"Magenta Street Park","Park","Bilsen Rd, Wavell Heights",-27.380427,153.049852
"Maggs Street Park, Wavell Heights","Park","32 Taylor St, Wavell Heights",-27.396243,153.039023
"Maidstone Street Park","Park","Maidstone St, Kelvin Grove",-27.454568,153.015658
"Main Auditorium, Brisbane City Hall","Library","64 Adelaide Street, Brisbane",-27.469108,153.024058
"Main Avenue Park","Park","Warr St, Wavell Heights",-27.384178,153.050539
"Maisie Dixon Park","Park","46 Nardie St, Eight Mile Plains",-27.568161,153.101038
"Majestic Park","Park","62 Park Street, Coorparoo",-27.508348,153.067296
"Malaga Street Park. McDowall","Park","71 Malaga Street, McDowall",-27.389736,152.987236
"Mango Street Park","Park","14 Mango Street, Runcorn",-27.595369,153.081095
"Manly Pool","Swimming pool","42 Fairlead Crescent, Manly",-27.453528,153.187518
"Manly Road Park (No.880)","Park","Manly Rd, Wakerley",-27.476329,153.145338
"Manly West mobile library","Mobile library","11 Burnett Street, Manly West",-27.474336,153.155357
"Mann Park, Windsor","Park","23 Byrne Street Street, Windsor",-27.441318,153.033044
"Mansfield Park","Park","1 Gilgandra Street, Indooroopilly",-27.50825,152.986899
"Marchant Park","Park","Gympie Road, Aspley",-27.375452,153.029842
"Markham Street Park","Park","45 Markham Street, Darra 4076",-27.574742,152.942748
"Marminde Street Park","Park","Nankoor St, Chapel Hill",-27.492846,152.947978
"Marnham Street Park","Park","45 Marnham St, Acacia Ridge",-27.595029,153.025401
"Marshall Park (Kelvin Grove Playground)","Park","140A Kelvin Grove Road, Kelvin Grove",-27.453256,153.011429
"Martindale Street Park","Park","Stringybark Dr, Chermside West",-27.37526,153.00457
"Mary Chayter Park","Park","Tennessee Ave, Tarragindi",-27.525143,153.034018
"Matisse Street Park","Park","26 Matisse St, Carseldine",-27.345227,153.020526
"Matthew Gardiner Park","Park","9 Denver Road, Carseldine 4034",-27.35071,153.02024
"Mauritius Parade Park","Park","26 Mauritus Parade, Forest Lake",-27.623223,152.968222
"Mayfield Gardens","Park","311 Tarragindi Road, Moorooka",-27.533596,153.032306
"Maynard Place Park","Park","15 Adamson Way, Runcorn",-27.606183,153.071621
"McCaskie Park","Park","137 Kelvin Grove Road, Kelvin Grove",-27.453892,153.011963
"McConaghy Street Park (nos. 171-235)","Park","171 McConaghy Street, Mitchelton",-27.40345,152.977324
"McCook Park","Park","35 Badger Street, Newmarket",-27.436625,153.012999
"McCormack Avenue Park","Park","27 McCormack Avenue, Ashgrove",-27.435032,152.992823
"McDowall Reserve","Park","22 Speilberg Street, McDowall",-27.377669,152.98653
"McEwan Park","Park","380 Archerfield Rd, Inala",-27.590995,152.960653
"McGinn Road Park (no. 130)","Park","1 McGregor Way, Ferny Grove",-27.406278,152.92425
"McGregor Way Park (nos. 30-34)","Park","32 McGregor Way, Ferny Grove",-27.406666,152.920754
"McKinlay-Davey Park","Park","165 Holmead Road, Eight Mile Plains",-27.5748056,153.1001774
"McKinnon Court Park","Park","3 McKinnon Court, Upper Kedron",-27.414016,152.917578
"McLean Parade Park","Park","36 McLean Parade, Ashgrove 4060",-27.438697,152.991356
"McLeod Court Park","Park","Margaret St, Mcdowall",-27.389174,152.995708
"McPherson Park","Park","146 Denham Street, Bracken Ridge 4017",-27.321611,153.042186
"Mcpherson Road Park","Park","36 Edenbrooke Dr, Seveteen Mile Rocks",-27.546984,152.952508
"Meadowbank Street Park","Park","48 Meadowbank St, Carindale",-27.510058,153.105067
"Meadowlands Picnic Ground","Park","184 Stanton Road, Tingalpa",-27.482723,153.118444
"Melaleuca Green Park","Park","26 Kinnerton Street, Chermside West 4032",-27.386677,153.009749
"Melrose Close Park","Park","15 Melrose Close, Carindale",-27.516346,153.116434
"Melrose Park, Wooloowin","Park","Rose and Roseleigh Streets, Wooloowin",-27.41397,153.04405
"Melrose Place Park (no. 14)","Park","14 Melrose Place, Runcorn",-27.610506,153.068192
"Mensforth Bushland","Park","122 Childs Street, Bracken Ridge 4017",-27.325945,153.049221
"Mercer Park","Park","100 Fifth Avenue, Kedron",-27.408742,153.040229
"Merlina Street Park","Park","11 Merlina Street, Manly West",-27.465571,153.169279
"Merri Merri Park","Park","Greenford Street, Chapel Hill",-27.484812,152.939303
"Merriwa Park","Park","23 Goorong Street, Sunnybank Hills",-27.594755,153.062222
"Merthyr Park","Park","112 Oxlade Dr, New Farm",-27.475132,153.046385
"Merthyr Road Park","Park","22 Refinery Parade, New Farm",-27.462419,153.050842
"Metroplex Avenue (No. 69) Park","Park","Metroplex Ave, Murarrie",-27.44881,153.098541
"Michael Place Park","Park","70 Barbour Road, Bracken Ridge 4017",-27.325058,153.032137
"Mikado Street Park","Park","161 Crosby Rd, Ascot",-27.433698,153.053143
"Milton Park","Park","316 Milton Road, Milton",-27.47103,153.000639
"Mindona Rotary Park","Park","25 Mindona St, Wishart",-27.555979,153.10387
"Mingoola Park","Park","22 Mingoola St, Murarrie",-27.458714,153.101225
"Minnippi Parklands","Park","21 Stanton Road West, Tingalpa",-27.47744,153.118488
"Mirbelia Street Park","Park","27 Mirbelia St, Kenmore Hills",-27.504236,152.938039
"Mirrabooka Road Park","Park","110 Frasers Road, Ashgrove 4060",-27.438463,152.981867
"Miskin Street Park","Park","128 Miskin Street, Toowong",-27.4882,152.98351
"Mitchelton Library","Library","37 Heliopolis Parade, Mitchelton",-27.417538,152.978178
"Mitchelton Park","Park","37 Osborne Road, Mitchelton",-27.414453,152.978977
"Moggill Ferry Reserve","Park","Moggill Rd, Moggill",-27.594096,152.857509
"Molle Road Park","Park","173 Molle Road, Ransome",-27.497279,153.184669
"Monash Road Park (road reserve)","Park","221 Monash Road, Tarragindi",-27.534422,153.057049
"Monier Road Park (nos. 44-84)","Park","52 Monier Road, Darra",-27.556686,152.958737
"Monoceros Street Park","Park","40 Monoceros Street, Inala",-27.608322,152.962211
"Monoplane Street Park","Park","30 Monoplane St, Ashgrove",-27.451746,152.973824
"Montanus Drive Park","Park","73 Montanus Drive, Bellbowrie 4070",-27.560577,152.877643
"Monterey Circuit Park","Park","45 Monterey Circuit, Tingalpa",-27.469106,153.144828
"Moola Road Park (road reserve)","Park","39 Moola Road, Ashgrove",-27.440661,152.981657
"Moolabin Park","Park","50 Vendale Ave, Moorooka",-27.528732,153.026053
"Moonie Avenue Park","Park","9 Governor Terrace, Murarrie",-27.459206,153.095846
"Moora Park","Park","65 Park Parade, Shorncliffe",-27.324476,153.084795
"Moorbell Street Park","Park","36 Craigmont St, Tarragindi",-27.533113,153.05267
"Moordale Street Park","Park","67 Moordale Street, Chapel Hill 4069",-27.503789,152.95807
"Moore Park","Park","27 Russell Terrace, Indooroopilly",-27.497881,152.965589
"Moorgumpin Park","Park","45 Kooringal Esplanade, Kooringal",-27.352863,153.419773
"Moorhen Flats","Park","1040 Stanley Street East, East Brisbane",-27.491539,153.047676
"Moorlands Park","Park","503 Coronation Drive, Auchenflower 4066",-27.478397,152.996612
"Moorooka Community Centre","Community Hall","40 Gainsborough Street, Moorooka",-27.53535,153.020791
"Moorooka Lions Bicent. Picnic Grnd Park","Park","77 Albemarle St, Yeerongpilly",-27.526146,153.021006
"Moorooka Playground Park","Park","111 Blomfield Street, Salisbury",-27.54201,153.023866
"Moreton Bay Lions Park","Park","24 Barnham Street, Wynnum",-27.451822,153.169727
"Morse Street Park","Park","7 Morse Street, Newstead",-27.511609,153.071373
"Mortimer Road Park","Park","32 Caladenia St, Acacia Ridge",-27.576705,153.017484
"Moses Adsett Park","Park","6 Clare Place, The Gap",-27.455002,152.935099
"Moss Road Park (no. 42)","Park","42 Moss Road, Wakerley",-27.478089,153.158602
"Mossvale Drive Park","Park","10 Mossvale Dr, Wakerley",-27.48085,153.15802
"Mount Gravatt Cemetery and Crematorium, Macgregor","General Council venue","582 Mains Road, Macgregor",-27.561461,153.065836
"Movilla Street Park","Park","7 Bantry Place, Ferny Grove",-27.402703,152.934563
"Mowbray Park","Park","60 Lytton Road, East Brisbane",-27.47852,153.044152
"Mt Coot-tha Forest","Park","Simpson's Road and Sir Samuel Griffith Drive, Mt Coot-tha",-27.471299,152.942843
"Mt Coot-tha Library","Library","152 Mount Coot-tha Road, Mt Coot-tha",-27.475672,152.976045
"Mt Coot-tha Reserve","Park","200 Mt Coot-tha Road, Mt Coot-tha",-27.472626,152.930987
"Mt Crosby mobile library","Mobile library","outside Mt Crosby State School, Mt Crosby",-27.551326,152.80711
"Mt Crosby Sportsground","Park","Allawah Rd, Chuwar",-27.539894,152.795985
"Mt Gravatt Cemetery","General Council venue","582 Mains Road, Macgregor",-27.561461,153.065836
"Mt Gravatt East Swimming Pool","Swimming pool","35 Wecker Road, Mt Gravatt East",-27.533387,153.094566
"Mt Gravatt Library","Library","8 Creek Road, Mt Gravatt",-27.538611,153.080147
"Mt Gravatt Outlook Reserve","Park","185 Mt Gravatt Road, Mt Gravatt",-27.543735,153.070071
"Mt Gravatt Park","Park","1873 Logan Road, Upper Mount Gravatt",-27.555098,153.076488
"Mt Ommaney Bushland Reserve","Park","12 Summit Place, Mount Ommaney",-27.542318,152.92642
"Mt Ommaney Library","Library","171 Dandenong Rd, Mt Ommaney",-27.552113,152.940722
"Mt Petrie Road Park","Park","422 Mt Petrie Road, Mackenzie",-27.540716,153.122802
"Mulbeam Park","Park","131 Beams Road, Boondall",-27.351654,153.053489
"Mulgrave Crescent Park","Park","Mulgrave Cres, Forest Lake",-27.613274,152.975267
"Mulley Park","Park","24 Stephen Street, Ellen Grove",-27.610859,152.933383
"Mungarie Street Park","Park","46 Mungarie Street, Keperra",-27.419493,152.945679
"Mungo Scott Park","Park","Handford Road, Zillmere",-27.353406,153.038199
"Munro Park","Park","65 Armadale Street, St Lucia",-27.495742,152.996127
"Murarrie Recreation Ground","Park","1238 Wynnum Road, Murarrie",-27.468133,153.104662
"Murarrie Recreational Ground","Park","1182 Wynnum Road, Murarrie",-27.469686,153.103614
"Murarrie Road Park (no. 315-327)","Park","315 Murarrie Road, Tingalpa",-27.470573,153.113655
"Murdoch Circuit Park","Park","291 Bradman Street, Acacia Ridge",-27.590102,153.037066
"Muriel Avenue Park","Park","70 Muriel Avenue, Mooroka",-27.544197,153.015865
"Museum of Brisbane","General Council venue","64 Adelaide Street, Brisbane",-27.469108,153.024058
"Musgrave Park Pool (South Brisbane)","Swimming pool","100 Edmondstone Street, South Brisbane",-27.4801073,153.014592
"Musgrave Park, South Brisbane","Park","91 Cordelia Street, South Brisbane",-27.478149,153.017277
"Myrtletown Reserve","Park","65 Sandmere Rd, Pinkenba",-27.390925,153.142091
"Nankoor Street Park","Park","55 Marmindie Street, Chapel Hill 4069",-27.492566,152.950044
"Narrung Street Park","Park","6 Tyabb Close, Middle Park",-27.558273,152.925355
"Nathan Road Park","Park","106 Nathan Rd, Runcorn",-27.586237,153.06898
"Naval Stores","Park","34 Amesbury Street, Kangaroo Point",-27.474355,153.034831
"Neal Macrossan Park","Park","Caroline Street, Paddington",-27.462233,153.010206
"Neata Street Park","Park","Archer Parade, Corinda",-27.549935,152.991273
"Nelson Place Park","Park","16 Nelson Place, Newmarket 4051",-27.43129,153.002307
"New Farm Library","Library","135 Sydney St, New Farm",-27.466925,153.049689
"New Farm Park","Park","1042 Brunswick Street, New Farm",-27.469181,153.051231
"New Farm Park Tennis Courts","Park","1042 Brunswick Street, New Farm",-27.468178,153.051758
"Newbury Place Park","Park","61A Cribb Rd, Carindale",-27.523862,153.120415
"Newmarket Olympic Swimming Pool","Swimming pool","71 Alderson Street, Newmarket",-27.429794,153.00428
"Newstead House","General Council venue","191a Breakfast Creek Road, Newstead",-27.441736,153.04486
"Newstead Park","Park","28 Newstead Terrace, Newstead",-27.442537,153.045889
"Newstead Terrace Park","Park","57A Newstead Terrace, Newstead",-27.4477,153.046825
"Newton Place Park","Park","26 Newton Place, Wacol",-27.59378,152.918583
"Nicholas Park","Park","22 Blucher Avenue, The Gap",-27.448068,152.948593
"Nicholson Place Park","Park","100 Gympie Street, Northgate",-27.387776,153.066079
"Nilkerie Street Park","Park","21 Nilkerie St, Carseldine",-27.346042,153.025572
"Nixon Park","Park","929 Oxley Road, Oxley",-27.552345,152.97826
"Norm Rose Park","Park","40 Victoria Terrace, Annerley 4103",-27.507061,153.026199
"Norma Croker Park","Park","34 Lismore St, Acacia Ridge",-27.586845,153.013975
"Norman Buchan Park","Park","53 Rainworth Road, Bardon",-27.465804,152.988779
"Northey Street City Farm","Community Garden,Park","16 Victoria Street (Cnr Victoria and Northey streets), Windsor",-27.442933,153.029125
"Northey Street Park","Park","24 Edgar Street, Windsor",-27.443563,153.026344
"Northgate Hall","Community Hall","34 Scott Street, Northgate",-27.388181,153.061669
"Northgate Reserve","Park","672 Nudgee Rd, Northgate",-27.396791,153.070131
"Northshore Riverside Park","Park","76A Parkside Crct, Hamilton 4007",-27.444878,153.08534
"Northumbria Road Park","Park","Aberdeen Pde, Boondall",-27.357478,153.074441
"Norup Park","Park","15 Teagarden Street, Eight Mile Plains",-27.587126,153.088196
"Nosworthy Park","Park","2 Hall Ave, Corinda 4075",-27.539936,152.987991
"Nudgee Beach Reserve","Park","18 Fortitude Street, Nudgee Beach",-27.343694,153.09692
"Nudgee Recreation Reserve","Park","290 Elliott Road, Banyo",-27.364223,153.082132
